title,years,tomatometer,reviews_counted,fresh,rotten,score,average_rating,number_of_ratings
,,,,,,,,
            The Wizard of Oz ,-1939,98,111,109,2,89,3.7,875276
,,,,,,,,
            Citizen Kane ,-1941,100,78,78,0,90,4.1,158091
,,,,,,,,
            Get Out ,-2017,98,332,327,5,86,4.2,71990
,,,,,,,,
            Mad Max: Fury Road ,-2015,97,391,378,13,85,4.2,126327
,,,,,,,,
            The Third Man ,-1949,99,77,76,1,93,4.3,53625
,,,,,,,,
            Moonlight ,-2016,98,341,334,7,79,4,44038
,,,,,,,,
            Inside Out ,-2015,98,345,337,8,89,4.3,135338
,,,,,,,,
            The Cabinet of Dr. Caligari ,-1920,100,50,50,0,89,4.1,27511
,,,,,,,,
            All About Eve ,-1950,100,65,65,0,94,4.3,45001
,,,,,,,,
            Wonder Woman ,-2017,93,406,377,29,88,4.3,125366
,,,,,,,,
            Metropolis ,-1927,99,118,117,1,92,4.1,62553
,,,,,,,,
            E.T. The Extra-Terrestrial ,-1982,98,123,121,2,72,3.5,32313983
,,,,,,,,
            It Happened One Night ,-1934,98,54,53,1,93,4.2,33400
,,,,,,,,
            Spotlight ,-2015,97,344,333,11,93,4.3,69503
,,,,,,,,
            Modern Times ,-1936,100,54,54,0,95,4.3,39991
,,,,,,,,
            Selma ,-2015,99,288,284,4,86,4.1,61095
,,,,,,,,
            Casablanca ,-1942,97,77,75,2,95,4.1,356722
,,,,,,,,
            The Godfather ,-1972,98,88,86,2,98,4.4,732022
,,,,,,,,
            Singin' in the Rain ,-1952,100,50,50,0,95,4,138116
,,,,,,,,
            La Grande illusion ,-1938,97,65,63,2,92,4.3,11592
,,,,,,,,
            The Big Sick ,-2017,98,265,260,5,88,4.2,31855
,,,,,,,,
            Laura ,-1944,100,60,60,0,90,4.1,10671
,,,,,,,,
            Psycho ,-1960,97,88,85,3,94,3.9,239061
,,,,,,,,
            Boyhood ,-2014,97,301,292,9,80,4,89232
,,,,,,,,
            Arrival ,-2016,94,377,353,24,82,4,81408
,,,,,,,,
            A Hard Day's Night ,-1964,98,106,104,2,89,3.9,50252
,,,,,,,,
            Logan ,-2017,93,363,338,25,90,4.3,90693
,,,,,,,,
            The Maltese Falcon ,-1941,100,52,52,0,91,4.1,57617
,,,,,,,,
            Nosferatu -  a Symphony of Horror ,-1922,97,62,60,2,87,4,47712
,,,,,,,,
            King Kong ,-1933,98,56,55,1,86,3.7,89929
,,,,,,,,
            Star Wars: Episode VII - The Force Awakens ,-2015,93,397,368,29,87,4.3,228991
,,,,,,,,
            Snow White and the Seven Dwarfs ,-1937,98,47,46,1,78,3.4,469949
,,,,,,,,
            12 Years a Slave ,-2013,95,346,330,16,90,4.3,139615
,,,,,,,,
            Repulsion ,-1965,100,60,60,0,86,4,18885
,,,,,,,,
            Argo ,-2012,96,337,323,14,90,4.2,208107
,,,,,,,,
            The Adventures of Robin Hood ,-1938,100,45,45,0,89,3.7,33785
,,,,,,,,
            North by Northwest ,-1959,99,72,71,1,94,4.2,79242
,,,,,,,,
            Sunset Boulevard ,-1950,98,61,60,1,95,4.3,53182
,,,,,,,,
            The Battle of Algiers ,-1967,98,85,83,2,95,4.4,14392
,,,,,,,,
            The Bride of Frankenstein ,-1935,100,43,43,0,87,3.8,24679
,,,,,,,,
            Rear Window ,-1954,100,63,63,0,95,4.2,150205
,,,,,,,,
            Gravity ,-2013,95,333,318,15,80,4,302152
,,,,,,,,
            Alien ,-1979,97,110,107,3,94,3.9,458495
,,,,,,,,
            Baby Driver ,-2017,93,335,311,24,86,4.1,61246
,,,,,,,,
            The Philadelphia Story ,-1940,100,56,56,0,93,4.1,47018
,,,,,,,,
            Toy Story 2 ,-1999,100,163,163,0,86,3.5,999039
,,,,,,,,
            Bicycle Thieves ,-1949,98,57,56,1,94,4.3,33946
,,,,,,,,
            La La Land ,-2016,91,409,373,36,81,4.1,69634
,,,,,,,,
