keyword,frequency
China,134
US,108
trade,102
Chinese,100
war,60
Trump,58
China’s,40
tariffs,40
said,36
up,34
Beijing,32
U.S.,32
more,30
about,28
American,28
against,28
last,26
deal,24
new,22
see,22
In,22
he,22
economic,22
President,22
administration,22
if,20
economy,20
Pence,20
political,20
billion,18
out,18
could,18
other,18
going,16
most,16
United,16
Soviet,16
America,16
2018,14
link,14
willing,14
how,14
stock,14
their,14
long,14
Mexico,14
Canada,14
countries,14
one,14
Beijing’s,14
between,14
two,14
over,14
global,14
China.,14
Russia,14
America’s,14
Russian,14
enemy,14
Global,14
Times,14
year,12
state,12
first,12
time,12
because,12
foreign,12
We,12
including,12
then,12
Japan,12
make,12
even,12
Zhong,12
itself,12
any,12
Mike,12
Pompeo,12
there,12
per,12
cent,12
do,12
just,12
president,12
But,12
part,12
cosmopolitan,12
people,10
might,10
public,10
goods,10
no,10
country,10
That,10
become,10
common,10
far,10
Monday,10
after,10
wrote,10
now,10
As,10
It,10
recent,10
NAFTA,10
pressure,10
Trade,10
domestic,10
agreement,10
market,10
talks,10
another,10
Europe,10
should,10
further,10
into,10
Donald,10
change,10
contain,10
such,10
conflict,10
midterm,10
Union,10
States,10
much,10
efforts,10
party-state,10
world,10
REIHAN,10
SALAM,10
conservatives,10
Putin,10
nationalist,10
speech,10
both,8
put,8
imports,8
show,8
people.,8
next,8
point,8
central,8
war.,8
user,8
himself,8
While,8
A,8
some,8
difficult,8
Americans,8
want,8
wants,8
each,8
policies,8
demands,8
Minister,8
US.,8
know,8
free,8
line,8
whether,8
advantage,8
Secretary,8
State,8
Foreign,8
Wang,8
were,8
tariff,8
technology,8
took,8
If,8
business,8
Trump’s,8
take,8
European,8
those,8
talking,8
strategy,8
summit,8
early,8
relationship,8
question,8
elections,8
when,8
freedom,8
different,8
rising,8
our,8
Huntington,8
threat,8
liberals,8
democracies,8
power,8
commitment,8
Cold,8
cannot,8
life,6
9,6
win,6
increasing,6
same,6
national,6
always,6
through,6
greater,6
state-run,6
there’s,6
doesn’t,6
go,6
worrying,6
tumble,6
day,6
requirement,6
seen,6
markets,6
Weibo,6
many,6
officials,6
asked,6
year.,6
worried,6
need,6
It’s,6
.,6
oil,6
nuts,6
top,6
based,6
him,6
up.,6
may,6
manufacturing,6
better,6
month,6
imports.,6
fact,6
front,6
argument,6
September,6
so-called,6
back,6
exports,6
stance,6
history,6
tensions,6
taken,6
exchange,6
told,6
must,6
actions,6
fundamental,6
Washington,6
intellectual,6
rights,6
25,6
transfer,6
side,6
accusations,6
attempting,6
elections.,6
warned,6
anytime,6
week,6
South,6
Union.,6
t,6
finance,6
chiefs,6
high,6
chief,6
still,6
clear,6
States.,6
approach,6
campaign,6
potential,6
made,6
How,6
pain,6
place,6
why,6
seeking,6
influence,6
outcome,6
democratic,6
themselves,6
world’s,6
powers,6
orienting,6
